Strain       Stress
0.0         0.00000000E+00
0.01       2.74629135E+01
0.02       5.46552505E+01
0.03       8.15822906E+01
0.04       1.08249168E+02
0.05       1.34660858E+02
0.06       1.60822189E+02
0.07       1.86737869E+02
0.08       2.12412476E+02
0.09       2.37850449E+02
0.10       2.63056091E+02
